topic,word,weight
Topic 1,trade,177.7456974795899
Topic 1,deal,110.68337848302788
Topic 1,trump,88.92835968252076
Topic 1,says,37.56132879249673
Topic 1,announces,25.22144901719712
Topic 1,indonesia,25.137077119050396
Topic 1,tariffs,24.761630714691034
Topic 1,mlb,20.21071592920389
Topic 1,tariff,18.53529149407546
Topic 1,deadline,18.350091368649316
Topic 1,russia,17.819478733349264
Topic 1,india,17.32920267238406
Topic 1,lebron,17.315969611816136
Topic 1,million,16.580108272820404
Topic 1,japan,16.46769071341637
Topic 2,tariff,52.00177661280187
Topic 2,trump,46.21256384124023
Topic 2,tariffs,30.90113185155854
Topic 2,china,18.795703920837944
Topic 2,trade,16.425173420017
Topic 2,talks,16.174567227156288
Topic 2,says,15.581617997416712
Topic 2,damian,15.325470447464324
Topic 2,eu,14.5036938285383
Topic 2,lillard,14.327309148003412
Topic 2,blazers,12.328476100454399
Topic 2,rate,12.304290071077125
Topic 2,wall,12.297784152398414
Topic 2,japan,12.038091839683677
Topic 2,trail,11.33111457973899
Topic 3,trade,87.829129100391
Topic 3,deadline,28.979833854301337
Topic 3,contract,26.28911097729808
Topic 3,new,18.02684250885672
Topic 3,extension,16.292422197682587
Topic 3,ahead,15.347029188335112
Topic 3,mclaurin,15.33203350459112
Topic 3,amid,14.882390848477929
Topic 3,million,14.27270634034967
Topic 3,terry,13.332011616376638
Topic 3,make,13.03073850326564
Topic 3,pm,12.313142007664041
Topic 3,rumors,11.966114611329795
Topic 3,china,11.834963561186077
Topic 3,report,11.088163685740737
