topic,word,weight
Topic 1,trump,1.1289340246179524
Topic 1,deal,1.0206688071610333
Topic 1,announces,0.6703792802447953
Topic 1,trade,0.6477698134467915
Topic 1,indonesia,0.5547465924239988
Topic 1,says,0.5361291007718626
Topic 1,tariff,0.5105110627793991
Topic 1,japan,0.44846059023269047
Topic 1,tariffs,0.27938825310234033
Topic 1,eu,0.1890955502321828
Topic 1,agreement,0.1465636319158315
Topic 1,percent,0.1425119918434023
Topic 1,rate,0.13031618907995357
Topic 1,including,0.12980387569678808
Topic 1,philippines,0.1257233830568527
Topic 2,trade,0.948826357324698
Topic 2,deadline,0.6226795188502451
Topic 2,million,0.42502729810734724
Topic 2,mlb,0.3334980245449275
Topic 2,make,0.2475078601212055
Topic 2,predicted,0.2356337315812108
Topic 2,yankees,0.18687289128885107
Topic 2,star,0.16701237368948013
Topic 2,braves,0.16368499625130228
Topic 2,pitcher,0.16239605441598678
Topic 2,rumors,0.15891309286449104
Topic 2,padres,0.15520382934319493
Topic 2,latest,0.1508005227190411
Topic 2,red,0.15006928795282776
Topic 2,contract,0.14822992595620896
Topic 3,mexican,0.7992119906542993
Topic 3,tomatoes,0.7499141259942228
Topic 3,imposes,0.7183956148767611
Topic 3,fresh,0.7087631779359274
Topic 3,duty,0.6420350098139914
Topic 3,domestic,0.1805764201622432
Topic 3,production,0.17612460497490487
Topic 3,tariff,0.17283063029667753
Topic 3,administration,0.1264584143739348
Topic 3,boosting,0.12215025374591379
Topic 3,hopes,0.12031661680450734
Topic 3,threatens,0.09456521246965849
Topic 3,flights,0.08485646532258771
Topic 3,singled,0.07991236491408972
Topic 3,boost,0.06592936762271082
